Address,2019 EUI,2020 EUI,2021 EUI,GFA,postal_code,plan_area
"10 ANSON ROAD, SINGAPORE 079903",164.51506414883687,139.9805251253621,137.90103042377694,103899.0,079903,DOWNTOWN CORE
"10 PASIR PANJANG ROAD, SINGAPORE 117438",164.74974897993118,142.07589759660274,137.33452501247106,312724.0,117438,QUEENSTOWN
"6001 BEACH ROAD, SINGAPORE 199589",156.3823200407354,136.0632934019403,136.85985072626897,37314.0,199589,DOWNTOWN CORE
"1500 BENDEMEER ROAD, SINGAPORE 339946",136.06280837858804,145.50678636078172,136.82082677601684,27069.0,339946,KALLANG
"78 SHENTON WAY, SINGAPORE 079120",168.76942672385638,145.42044242199918,136.6106817043698,45929.0,079120,DOWNTOWN CORE
"1 ORCHARD SPRING LANE, SINGAPORE 247729",154.5835253468959,143.3265905648735,136.10678409154653,17827.0,247729,ORCHARD
"10 SCIENCE PARK ROAD, SINGAPORE 117684",174.6068412014159,156.03017558616338,136.0453860442295,28533.0,117684,QUEENSTOWN
"39 ROBINSON ROAD, SINGAPORE 068911",189.22008394810481,151.23810735181888,135.71419486135844,15724.0,068911,DOWNTOWN CORE
"91 UBI AVENUE 4, SINGAPORE 408827",169.0965698299106,151.3763253390638,135.09635696474547,49327.0,408827,GEYLANG
"1 MAGAZINE ROAD, SINGAPORE 059567",168.64776713805568,139.96833978058214,134.69222842285498,15769.0,059567,SINGAPORE RIVER
"51 CUPPAGE ROAD, SINGAPORE 229469",159.27876694161407,128.7607426815462,131.65897978327672,30915.0,229469,ORCHARD
"103 PENANG ROAD, SINGAPORE 238467",188.3113472581561,132.86577774973182,131.1009149996845,15847.0,238467,MUSEUM
"140 HILL STREET, SINGAPORE 179369",143.67204346328958,130.40231204805448,131.0119547002334,26137.0,179369,MUSEUM
"45 MAXWELL ROAD, SINGAPORE 069118",157.0646052949373,138.49605053413842,130.26498169995355,53825.0,069118,DOWNTOWN CORE
"18 HAVELOCK ROAD, SINGAPORE 059764",137.4742473621777,131.59204470250359,128.95868639570458,32034.0,059764,SINGAPORE RIVER
"6 BATTERY ROAD, SINGAPORE 049909",169.07500301168534,127.09465124683773,128.0023491145645,66408.0,049909,DOWNTOWN CORE
"8 JURONG TOWN HALL ROAD, SINGAPORE 609434",145.05083181488493,128.0175279070179,125.54261432589735,56527.0,609434,JURONG EAST
"1 PICKERING STREET, SINGAPORE 048659",152.97348044458911,127.6473050272055,125.37829605171372,43006.0,048659,OUTRAM
"20 SCIENCE PARK ROAD, SINGAPORE 117674",131.66224576271188,136.7958686440678,125.29338559322034,23600.0,117674,QUEENSTOWN
"8 CROSS STREET, SINGAPORE 048424",149.1204623951505,124.06687460351026,124.54461831253965,42561.0,048424,DOWNTOWN CORE
"1 PARLIAMENT PLACE, SINGAPORE 178880",128.34664811535544,126.45226410321276,124.13450543890715,19765.0,178880,DOWNTOWN CORE
"77 ROBINSON ROAD, SINGAPORE 068896",153.25282732035726,128.45465157314658,123.77116486141652,36837.0,068896,DOWNTOWN CORE
"1 AVIATION DRIVE, SINGAPORE 499867",144.24409871244634,129.43065987124464,123.21812410586553,22368.0,499867,CHANGI
"1 HARBOURFRONT AVENUE, SINGAPORE 098632",149.40213910133843,125.39573374760994,122.41086281070746,41840.0,098632,BUKIT MERAH
"300 BEACH ROAD, SINGAPORE 199555",134.0308265482754,110.67829096679063,121.51745095525067,62392.0,199555,DOWNTOWN CORE
"79 ANSON ROAD, SINGAPORE 079906",155.2377711605747,128.23615164147995,121.51477704161394,26866.0,079906,DOWNTOWN CORE
"5 MAXWELL ROAD, SINGAPORE 069110",146.82232532738132,138.6674125301262,120.89996557005306,84229.0,069110,DOWNTOWN CORE
"20 HARBOUR DRIVE, SINGAPORE 117612",150.75438708288482,122.54880258342304,120.75286975242197,23225.0,117612,QUEENSTOWN
"1 MARINA BOULEVARD, SINGAPORE 018989",156.2935098843715,118.97190103195325,120.09352231754319,48258.0,018989,DOWNTOWN CORE
"100 HIGH STREET, SINGAPORE 179434",130.04199085489932,115.66143975485384,118.68425462641545,41771.0,179434,DOWNTOWN CORE
"105 CECIL STREET, SINGAPORE 069534",123.23083836764886,121.94232523733199,117.94234249784243,16222.0,069534,DOWNTOWN CORE
"3 KILLINEY ROAD, SINGAPORE 239519",138.120506293042,117.22556304915697,116.92935644739967,21055.0,239519,ORCHARD
"200 CANTONMENT ROAD, SINGAPORE 089763",147.42855495612997,124.30946259188997,116.38968668484706,33736.0,089763,BUKIT MERAH
"133 CECIL STREET, SINGAPORE 069535",143.5838760699665,120.4363137327875,115.72683289914403,16122.0,069535,DOWNTOWN CORE
"8 SHENTON WAY, SINGAPORE 068811",157.99639215686275,124.4158368627451,114.29117490196079,95625.0,068811,DOWNTOWN CORE
"55 NEWTON ROAD, SINGAPORE 307987",162.30601674143273,137.42628101464678,112.52722820311416,86572.0,307987,NOVENA
"1 HAVELOCK SQUARE, SINGAPORE 059724",292.99119797809607,114.18552182823557,111.0119368933916,103444.0,059724,OUTRAM
"16 COLLEGE ROAD, SINGAPORE 169854",122.59287739977826,144.72188130944738,108.54570519927643,17137.0,169854,BUKIT MERAH
"10 SHENTON WAY, SINGAPORE 079117",129.91210379292207,116.54570262475285,108.45043878902213,55129.0,079117,DOWNTOWN CORE
"30 RAFFLES PLACE, SINGAPORE 048622",,50.62749758597638,106.45064250167125,40389.0,048622,DOWNTOWN CORE
"180 CECIL STREET, SINGAPORE 069546",116.66493585631815,107.01744708146248,105.55990699166132,15590.0,069546,DOWNTOWN CORE
"438 ALEXANDRA ROAD, SINGAPORE 119958",128.56888523142388,106.3783067721087,104.33364778611858,24911.0,119958,QUEENSTOWN
"71 CHAI CHEE STREET, SINGAPORE 468981",116.18812482701355,103.6729559922502,103.72616246886244,21678.0,468981,BEDOK
